Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

102513_T1w_acpc_dc.img	Telencephalon_L	615659	94.7796	2010.5189	854.6744	276.0952	
102513_T1w_acpc_dc.img	Telencephalon_R	619713	58.2287	2153.6709	863.4619	286.2667	
102513_T1w_acpc_dc.img	Diencephalon_L	9944	177.0587	1449.8958	543.2093	63.1763	
102513_T1w_acpc_dc.img	Diencephalon_R	9920	146.4172	1422.0480	537.8360	68.7833	
102513_T1w_acpc_dc.img	Mesencephalon	10928	126.3045	704.0723	535.6747	58.7438	
102513_T1w_acpc_dc.img	Metencephalon	141912	124.6327	1148.0156	628.0622	140.6853	
102513_T1w_acpc_dc.img	Myelencephalon	4215	147.6002	724.7596	517.2435	46.5521	
102513_T1w_acpc_dc.img	CSF	74275	97.7020	1844.2413	524.1097	219.5115	



Type1-L2 Statistics

102513_T1w_acpc_dc.img	CerebralCortex_L	350266	94.7796	2010.5189	803.5990	282.4518	
102513_T1w_acpc_dc.img	CerebralCortex_R	349705	58.2287	2153.6709	812.5900	300.2115	
102513_T1w_acpc_dc.img	CerebralNucli_L	14159	136.6173	1248.6206	552.2942	68.4260	
102513_T1w_acpc_dc.img	CerebralNucli_R	14734	163.8514	1426.0277	557.5235	73.3019	
102513_T1w_acpc_dc.img	Thalamus_L	7077	185.1317	766.0750	551.0146	51.5818	
102513_T1w_acpc_dc.img	Thalamus_R	7330	151.1849	798.7910	547.3507	65.8700	
102513_T1w_acpc_dc.img	BasalForebrain_L	2867	177.0587	1449.8958	523.9429	82.1831	
102513_T1w_acpc_dc.img	BasalForebrain_R	2590	146.4172	1422.0480	510.9063	69.7137	
102513_T1w_acpc_dc.img	Mesencephalon_L	5498	146.6522	679.0678	534.4796	54.6264	
102513_T1w_acpc_dc.img	Mesencephalon_R	5431	126.3045	704.0723	536.8847	62.6139	
102513_T1w_acpc_dc.img	Metencephalon_R	71208	143.9367	1125.2115	631.0179	139.1253	
102513_T1w_acpc_dc.img	Metencephalon_L	70704	124.6327	1148.0156	625.0855	142.1770	
102513_T1w_acpc_dc.img	Myelencephalon_L	1933	147.6002	638.7135	515.4828	51.7773	
102513_T1w_acpc_dc.img	Myelencephalon_R	2283	200.1205	724.7596	518.7340	41.5609	
102513_T1w_acpc_dc.img	WhiteMatter_L	251235	169.8755	2002.8105	942.9236	242.3487	
102513_T1w_acpc_dc.img	WhiteMatter_R	255274	96.3294	1981.7008	950.8104	242.0483	
102513_T1w_acpc_dc.img	Ventricle	17546	97.7020	1121.5386	429.4763	190.3813	
102513_T1w_acpc_dc.img	Sulcus_L	33096	124.1249	1453.1415	535.5707	206.6354	
102513_T1w_acpc_dc.img	Sulcus_R	23635	127.4949	1844.2413	578.3132	234.4418	



Type1-L3 Statistics

102513_T1w_acpc_dc.img	Frontal_L	118092	141.6129	1558.7466	739.6181	198.7439	
102513_T1w_acpc_dc.img	Frontal_R	115153	105.3504	1546.7260	758.0478	207.1737	
102513_T1w_acpc_dc.img	Parietal_L	51205	219.4526	1852.5779	998.5990	267.9238	
102513_T1w_acpc_dc.img	Parietal_R	53408	196.8304	2076.4507	1100.6336	314.8512	
102513_T1w_acpc_dc.img	Temporal_L	80248	94.7796	1902.2416	790.8417	277.9649	
102513_T1w_acpc_dc.img	Temporal_R	80474	75.5067	2153.6709	765.3001	286.0934	
102513_T1w_acpc_dc.img	Limbic_L	44843	114.2439	1382.3320	579.9330	130.6435	
102513_T1w_acpc_dc.img	Limbic_R	45867	69.9510	1428.3694	562.9163	128.6411	
102513_T1w_acpc_dc.img	Occipital_L	48174	121.2579	2010.5189	1019.3821	329.4459	
102513_T1w_acpc_dc.img	Occipital_R	46610	179.6344	1864.5627	980.4944	305.3424	
102513_T1w_acpc_dc.img	Insula_L	9165	168.9029	1597.0698	552.2122	103.5806	
102513_T1w_acpc_dc.img	Insula_R	9647	58.2287	1824.8164	583.2253	128.4969	
102513_T1w_acpc_dc.img	BasalGang_L	12701	166.4570	1248.6206	565.4039	57.5426	
102513_T1w_acpc_dc.img	BasalGang_R	13282	168.6541	1426.0277	570.3623	63.9871	
102513_T1w_acpc_dc.img	Thalamus_L	7077	185.1317	766.0750	551.0146	51.5818	
102513_T1w_acpc_dc.img	Thalamus_R	7330	151.1849	798.7910	547.3507	65.8700	
102513_T1w_acpc_dc.img	BasalForebrain_L	2867	177.0587	1449.8958	523.9429	82.1831	
